proposal_id,sampling_set,latitude,longitude,type,lims_barcode,alt_id,growth_facil,other_growth_facil,other_storage_condt,oxygen_relationship,sample_store_temp,samp_biotic_relationship,storage_condt,air_temp_regm,chem_administration,collection_date,collection_time,env_broad_scale_other,env_local_scale_other,env_medium_other,experimental_factor,experimental_factor_other,extraction_method,extreme_event,gaseous_environment,geo_loc_name,humidity_regm,isotope_exposure,light_regm,link_addit_analys,method_development,microbial_biomass_c_meth,microbial_biomass_meth,microbial_biomass_n_meth,misc_param,neon_plot_id,non_microb_biomass_method,other_sample_store_temp,other_treatment,ph,ph_meth,salinity,salinity_method,sample_collected,sample_collection_dev,sample_collection_method,sample_end_time,sample_processing,sample_start_time,season_environment,shipped_sample_size,sieving,start_date_inc,tot_nitro_cont_meth,tot_org_c_meth,watering_regm
60923,2,31.0454,-97.3482,soil,60923_2_B,,field,,,,,,fresh,,,2023-11-09 10:15:00,2023-11-09 10:15:00,arid biome [ENVO:01001838],____agricultural field [ENVO:00000114],vertisol [ENVO:00002254],,,,9999-12-31 00:00:00,,"United States: Texas,Temple USDA-ARS",,,,,,,,,,,,,Set 1,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,3,31.0449,-97.3483,soil,60923_3_B,,field,,,,,,fresh,,,2023-11-09 10:30:00,2023-11-09 10:30:00,arid biome [ENVO:01001838],____agricultural field [ENVO:00000114],vertisol [ENVO:00002254],,,,9999-12-31 00:00:00,,"United States: Texas,Temple USDA-ARS",,,,,,,,,,,,,Set 1,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,5,31.045,-97.3481,soil,60923_5_B,,field,,,,,,fresh,,,2023-11-09 11:15:00,2023-11-09 11:15:00,arid biome [ENVO:01001838],____agricultural field [ENVO:00000114],vertisol [ENVO:00002254],,,,9999-12-31 00:00:00,,"United States: Texas,Temple USDA-ARS",,,,,,,,,,,,,Set 1,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,7,31.0451,-97.3481,soil,60923_7_B,,field,,,,,,fresh,,,2023-11-09 11:00:00,2023-11-09 11:00:00,arid biome [ENVO:01001838],____agricultural field [ENVO:00000114],vertisol [ENVO:00002254],,,,9999-12-31 00:00:00,,"United States: Texas,Temple USDA-ARS",,,,,,,,,,,,,Set 1,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,9,38.8997,-92.2138,soil,60923_9_B,,field,,,,,,fresh,,,2023-08-21 12:37:00,2023-08-21 12:37:00,__temperate shrubland biome [ENVO:01000215],____agricultural field [ENVO:00000114],luvisol [ENVO:00002248],,,,9999-12-31 00:00:00,,"United States: Missouri, Columbia",,,,,,,,,,,,,Set 2,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,10,38.8997,-92.2139,soil,60923_10_B,,field,,,,,,fresh,,,2023-08-21 13:10:00,2023-08-21 13:10:00,__temperate shrubland biome [ENVO:01000215],____agricultural field [ENVO:00000114],luvisol [ENVO:00002248],,,,9999-12-31 00:00:00,,"United States: Missouri, Columbia",,,,,,,,,,,,,Set 2,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,11,38.8996,-92.2139,soil,60923_11_B,,field,,,,,,fresh,,,2023-08-21 13:53:00,2023-08-21 13:53:00,__temperate shrubland biome [ENVO:01000215],____agricultural field [ENVO:00000114],luvisol [ENVO:00002248],,,,9999-12-31 00:00:00,,"United States: Missouri, Columbia",,,,,,,,,,,,,Set 2,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,13,38.8998,-92.2141,soil,60923_13_B,,field,,,,,,fresh,,,2023-08-21 10:03:00,2023-08-21 10:03:00,__temperate shrubland biome [ENVO:01000215],____agricultural field [ENVO:00000114],luvisol [ENVO:00002248],,,,9999-12-31 00:00:00,,"United States: Missouri, Columbia",,,,,,,,,,,,,Set 2,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,14,38.8998,-92.2141,soil,60923_14_B,,field,,,,,,fresh,,,2023-08-21 09:17:00,2023-08-21 09:17:00,__temperate shrubland biome [ENVO:01000215],____agricultural field [ENVO:00000114],luvisol [ENVO:00002248],,,,9999-12-31 00:00:00,,"United States: Missouri, Columbia",,,,,,,,,,,,,Set 2,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,17,41.8368,-88.2396,soil,60923_17_B,,field,,,,,,fresh,,,2023-09-12 11:11:00,2023-09-12 11:11:00,__temperate savanna biome [ENVO:01000189],____agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],,,,9999-12-31 00:00:00,,"United States: Illinois, Fermilab",,,,,,,,,,,,,Set 3,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,18,41.8365,-88.2396,soil,60923_18_B,,field,,,,,,fresh,,,2023-09-12 11:21:00,2023-09-12 11:21:00,__temperate savanna biome [ENVO:01000189],____agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],,,,9999-12-31 00:00:00,,"United States: Illinois, Fermilab",,,,,,,,,,,,,Set 3,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,19,41.8368,-88.2399,soil,60923_19_B,,field,,,,,,fresh,,,2023-09-12 11:54:00,2023-09-12 11:54:00,__temperate savanna biome [ENVO:01000189],____agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],,,,9999-12-31 00:00:00,,"United States: Illinois, Fermilab",,,,,,,,,,,,,Set 3,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,21,41.8367,-88.2399,soil,60923_21_B,,field,,,,,,fresh,,,2023-09-12 12:07:00,2023-09-12 12:07:00,__temperate savanna biome [ENVO:01000189],____agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],,,,9999-12-31 00:00:00,,"United States: Illinois, Fermilab",,,,,,,,,,,,,Set 3,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,1,31.045,-97.3484,soil,60923_1_B,,field,,,,,,fresh,,,2023-11-09 10:00:00,2023-11-09 10:00:00,arid biome [ENVO:01001838],____agricultural field [ENVO:00000114],vertisol [ENVO:00002254],,,,9999-12-31 00:00:00,,"United States: Texas,Temple USDA-ARS",,,,,,,,,,,,,Set 1,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,8,38.8998,-92.2138,soil,60923_8_B,,field,,,,,,fresh,,,2023-08-21 14:45:00,2023-08-21 14:45:00,__temperate shrubland biome [ENVO:01000215],____agricultural field [ENVO:00000114],luvisol [ENVO:00002248],,,,9999-12-31 00:00:00,,"United States: Missouri, Columbia",,,,,,,,,,,,,Set 2,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,12,38.9,-92.2141,soil,60923_12_B,,field,,,,,,fresh,,,2023-08-21 10:38:00,2023-08-21 10:38:00,__temperate shrubland biome [ENVO:01000215],____agricultural field [ENVO:00000114],luvisol [ENVO:00002248],,,,9999-12-31 00:00:00,,"United States: Missouri, Columbia",,,,,,,,,,,,,Set 2,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,20,41.8365,-88.2399,soil,60923_20_B,,field,,,,,,fresh,,,2023-09-12 10:07:00,2023-09-12 10:07:00,__temperate savanna biome [ENVO:01000189],____agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],,,,9999-12-31 00:00:00,,"United States: Illinois, Fermilab",,,,,,,,,,,,,Set 3,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,4,31.0451,-97.3482,soil,60923_4_B,,field,,,,,,fresh,,,2023-11-09 10:45:00,2023-11-09 10:45:00,arid biome [ENVO:01001838],____agricultural field [ENVO:00000114],vertisol [ENVO:00002254],,,,9999-12-31 00:00:00,,"United States: Texas,Temple USDA-ARS",,,,,,,,,,,,,Set 1,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,16,41.8366,-88.2395,soil,60923_16_B,,field,,,,,,fresh,,,2023-09-12 10:48:00,2023-09-12 10:48:00,__temperate savanna biome [ENVO:01000189],____agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],,,,9999-12-31 00:00:00,,"United States: Illinois, Fermilab",,,,,,,,,,,,,Set 3,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,6,31.0453,-97.3479,soil,60923_6_B,,field,,,,,,fresh,,,2023-11-09 11:30:00,2023-11-09 11:30:00,arid biome [ENVO:01001838],____agricultural field [ENVO:00000114],vertisol [ENVO:00002254],,,,9999-12-31 00:00:00,,"United States: Texas,Temple USDA-ARS",,,,,,,,,,,,,Set 1,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
60923,15,41.8367,-88.2395,soil,60923_15_B,,field,,,,,,fresh,,,2023-09-12 10:32:00,2023-09-12 10:32:00,__temperate savanna biome [ENVO:01000189],____agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],,,,9999-12-31 00:00:00,,"United States: Illinois, Fermilab",,,,,,,,,,,,,Set 3,,,,,,slide hammer corer 7.5X30 cm,,,,,,1 core,,,,,
