Sample_Name,Proposal_ID,Sampling_Set,Core_Section,pH,MBC_mg_per_kg,MBN_mg_per_kg,SO4_S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_mg_per_100_g,Mg_mg_per_100_g,Na_mg_per_100_g,K_mg_per_100_g,CEC_meq_per_100_g,Total_C_percent,Total_N_percent,Total_S_percent,PO4_P_mg_per_kg,PO4_P_extraction,GWC_percent,WEOM_TOC_mg_per_kg,WEOM_TN_mg_per_kg,MAOM_TOC_mg_per_kg,MAOM_TN_mg_per_kg,Clay_percent,Sand_percent,Silt_percent,Beta_Glucosidase_ug_pNP_per_g_per_h,Bulk_density_g_per_cm3,flag_MBC,flag_MBN,flag_total_sulfur,phosphorus,phosphorus_unit,flag_GWC
60923_1_TOP,60923,1,TOP,8.19,422.15,14.4,3.0,1.14,0.5,0.9,1.5,5.0,29.71,1.01,0.13,1.25,28.47,9.41,0.22,0.16,1.36,Olsen,13.52,36.69,12.12,1059.47,56.13,60.05,15.4,24.55,134.2,0.79,,,,1.4,mg per kg,
60923_1_BTM,60923,1,BTM,8.22,179.42,5.69,2.0,1.38,0.1,2.6,1.9,8.0,29.09,0.8,0.16,0.53,28.33,9.16,0.15,0.16,0.06,Olsen,24.61,28.58,7.74,1293.09,43.24,64.05,13.4,22.55,19.3,0.76,,,,0.0,mg per kg,
60923_2_TOP,60923,2,TOP,8.35,380.35,9.32,5.0,1.27,0.5,1.0,0.5,9.0,34.89,1.38,0.11,1.11,33.3,7.62,0.19,0.16,1.83,Olsen,26.33,22.2,4.25,1192.36,50.33,69.3,10.2,20.5,85.1,0.68,,,,1.44,mg per kg,
60923_2_BTM,60923,2,BTM,7.76,350.49,4.06,,,,,,,,,,,,,,,,Olsen,15.43,20.64,1.82,1222.52,49.76,,,,,0.9,,,,0.0,mg per kg,
60923_3_TOP,60923,3,TOP,8.23,229.92,15.56,8.0,0.96,0.5,3.0,0.2,5.0,31.56,0.94,0.12,1.22,32.14,9.7,0.24,0.17,1.25,Olsen,20.52,32.35,15.41,1734.78,106.07,60.1,15.6,24.4,117.4,0.77,,,,0.94,mg per kg,
60923_3_BTM,60923,3,BTM,8.3,37.5,5.34,10.0,0.99,0.1,3.3,0.2,6.0,33.07,0.89,0.13,0.72,29.85,8.49,0.16,0.15,0.01,Olsen,14.32,24.47,5.18,1322.07,73.03,,,,,0.75,,,,0.0,mg per kg,
60923_4_TOP,60923,4,TOP,8.14,69.07,9.16,12.0,0.81,0.2,1.9,0.2,5.0,32.17,1.15,0.13,1.02,31.7,8.53,0.19,0.17,1.56,Olsen,22.71,17.87,5.64,1597.65,62.7,62.3,15.5,22.3,87.4,0.68,,,,1.58,mg per kg,
60923_4_BTM,60923,4,BTM,8.24,234.57,4.4,5.0,1.15,0.1,2.8,0.5,7.0,32.32,0.88,0.13,0.69,31.24,8.13,0.16,0.15,0.58,Olsen,17.03,20.8,3.49,1531.97,89.82,,,,,0.71,,,,0.0,mg per kg,
60923_5_TOP,60923,5,TOP,8.17,,,9.0,0.79,0.4,1.8,0.2,3.0,34.35,1.04,0.13,1.33,33.29,8.5,0.18,0.18,2.16,Olsen,23.11,25.69,8.33,1476.85,65.71,62.3,15.5,22.2,89.8,0.64,Failed_QC,Failed_QC,,1.77,mg per kg,
60923_5_BTM,60923,5,BTM,8.15,,,8.0,1.02,0.1,4.9,0.3,7.0,34.92,0.94,0.14,0.8,30.0,7.71,0.11,0.16,,Olsen,17.56,65.96,4.78,1230.57,47.18,,,,14.2,0.88,Failed_QC,Failed_QC,,0.0,mg per kg,
60923_6_TOP,60923,6,TOP,8.35,,,7.0,0.78,0.2,2.8,0.4,7.0,43.94,1.19,0.14,1.11,33.69,7.48,0.19,0.15,0.95,Olsen,23.54,66.36,2.89,1035.39,52.18,,,,,0.72,Failed_QC,Failed_QC,,1.15,mg per kg,
60923_6_BTM,60923,6,BTM,8.3,,,6.0,0.73,0.1,1.6,0.3,8.0,43.81,1.04,0.15,0.79,42.36,6.54,0.15,0.13,0.02,Olsen,22.51,18.11,1.15,622.77,35.04,,,,,0.63,Failed_QC,Failed_QC,,0.02,mg per kg,
60923_7_TOP,60923,7,TOP,8.39,,,8.0,0.91,0.2,1.4,0.5,5.0,36.22,1.03,0.13,0.91,31.97,8.05,0.17,0.15,4.04,Olsen,19.73,14.06,8.05,286.16,16.14,70.9,3.6,25.6,56.3,0.71,Failed_QC,Failed_QC,,3.61,mg per kg,
60923_7_BTM,60923,7,BTM,8.21,,,2.0,1.36,0.3,1.7,1.6,11.0,40.54,0.99,0.13,0.8,34.13,7.35,0.18,0.15,0.35,Olsen,24.81,8.62,24.16,197.55,13.68,82.1,2.8,15.1,18.1,0.73,Failed_QC,Failed_QC,,0.31,mg per kg,
60923_8_TOP,60923,8,TOP,6.57,32.89,7.72,4.0,0.11,0.4,3.3,0.5,18.0,11.06,1.59,0.03,0.3,19.0,1.48,0.2,0.01,0.48,Bray,23.27,28.65,3.17,261.94,31.86,30.1,12.2,57.7,42.3,1.33,,,,0.48,mg per kg,
60923_8_BTM,60923,8,BTM,6.79,9.64,0.95,5.0,0.12,0.4,2.6,0.5,25.0,11.81,2.35,0.09,0.13,21.85,1.18,0.18,0.01,4.87,Bray,23.19,31.31,1.58,241.29,26.86,34.1,10.3,55.7,18.0,1.35,,,,4.39,mg per kg,
60923_9_TOP,60923,9,TOP,6.8,17.98,3.75,19.0,0.06,0.3,0.9,0.4,8.0,12.47,1.83,0.03,0.31,16.39,1.35,0.2,0.01,1.31,Bray,22.98,25.32,3.05,214.34,27.18,30.2,12.2,57.7,28.4,1.13,,,,0.9,mg per kg,
60923_9_BTM,60923,9,BTM,6.58,17.07,0.95,4.0,0.11,0.4,3.5,0.5,31.0,14.74,4.4,0.2,0.17,42.79,0.89,0.15,0.0,6.89,Bray,31.77,40.0,2.14,275.39,23.51,52.1,8.2,39.7,11.4,0.98,,,Below_Reporting_Limit,6.82,mg per kg,
60923_10_TOP,60923,10,TOP,6.56,37.91,7.42,5.0,0.11,0.3,1.7,0.4,14.0,11.17,1.75,0.03,0.3,17.4,1.48,0.22,0.0,0.23,Bray,19.64,22.11,2.48,238.8,31.04,30.0,12.3,57.7,51.6,1.16,,,Below_Reporting_Limit,0.0,mg per kg,
60923_10_BTM,60923,10,BTM,6.7,9.74,1.76,20.0,0.46,1.7,31.5,1.3,17.0,12.47,2.57,0.13,0.12,24.01,1.07,0.17,0.0,4.07,Bray,23.09,38.33,2.28,192.01,19.57,41.6,10.5,48.0,16.6,1.35,,,Below_Reporting_Limit,3.85,mg per kg,
60923_11_TOP,60923,11,TOP,6.59,6.68,3.0,34.0,2.42,2.0,15.8,0.7,5.0,10.2,2.03,0.03,0.35,18.3,1.44,0.2,0.01,,Bray,22.98,30.31,3.65,208.04,24.63,31.6,12.5,56.0,45.4,1.17,,,,0.0,mg per kg,
