Sample_Name,roi_volume_voxel,voxel_size_um3,connected_pores_percent,pore_diameter_min_mm,pore_diameter_max_mm,pore_diameter_mean_mm,pore_diameter_median_mm,pore_diameter_variance_mm,pore_volume_mean_mm3,total_pore_volume_percent,permeability_x_um2,flow_rate_x_um3_per_sec,tortuosity_x,permeability_y_um2,flow_rate_y_um3_per_sec,tortuosity_y,permeability_z_um2,flow_rate_z_um3_per_sec,tortuosity_z,rep
60923_8_BTM,2348935016.0,0.0381,63.721688,0.0473,15.82673359,0.094629243,0.0596,0.0116,0.0174,2.49849,2.75,42.9,1.378741068,60.4,971.0,1.0683351,0.857,8.03,1.4487684,1
60923_8_TOP,2348935016.0,0.0381,86.713822,0.0473,24.30084038,0.084609859,0.0596,0.00861,0.0324,6.64608,2210.0,33900.0,1.414054971,1940.0,31800.0,1.7028276,2.76,26.1,1.7897641,1
60923_9_BTM,2348935016.0,0.0381,76.139443,0.0473,20.84244537,0.079586796,0.0582,0.00528,0.00773,4.77558,274.0,4210.0,1.672900679,459.0,7490.0,1.611243,24.8,236.0,1.7805065,1
60923_9_TOP,2348935016.0,0.0381,,0.0473,26.8386288,0.072713517,0.0473,0.00393,0.00892,8.95158,230.0,3550.0,1.598231915,97.3,1600.0,1.7872926,26.3,250.0,1.8795431,1
60923_10_BTM,2348935016.0,0.0381,62.459593,0.0473,15.75620174,0.093584046,0.0596,0.0155,0.0238,2.51505,29.8,457.0,1.438450723,136.0,2200.0,1.3050831,0.0126,0.12,1.513315,1
60923_10_TOP,2348935016.0,0.0381,58.628058,0.0473,14.61263847,0.078813277,0.0596,0.00664,0.0109,2.41016,58.6,751.0,1.406633194,57.0,775.0,1.2648553,0.51,5.78,2.084456,1
60923_11_BTM,2348935016.0,0.0381,82.069979,0.0473,19.07376671,0.076839067,0.0485,0.00673,0.0144,3.39559,468.0,7140.0,1.537423911,517.0,8510.0,1.5368002,397.0,3740.0,1.5370814,1
60923_11_TOP,2348935016.0,0.0381,63.783942,0.0473,13.99630451,0.081893861,0.0538,0.00662,0.00722,2.08518,82.4,1160.0,1.445478734,48.2,730.0,1.5742596,3.02e-10,3.09e-09,2.3629581,1
60923_12_BTM,2348935016.0,0.0381,66.5896,0.0473,18.3137207,0.059049249,0.0473,0.00119,0.00126,3.70436,9.48,145.0,1.796981631,26.9,442.0,1.5206721,70.0,665.0,1.4891313,1
60923_12_TOP,2348935016.0,0.0381,88.7192,0.0473,27.1069164,0.065769456,0.0473,0.00301,0.00757,9.01597,570.0,8760.0,1.591269987,844.0,13900.0,1.5589438,135.0,1280.0,1.9724457,1
60923_13_BTM,2348935016.0,0.0381,72.995151,0.0473,14.94183445,0.082847498,0.0596,0.0086,0.0167,1.8353,79.5,1210.0,1.389591558,25.6,416.0,1.7453486,159.0,1510.0,1.3617618,1
60923_13_TOP,2348935016.0,0.0381,55.978286,0.0473,15.32252693,0.08900214,0.0596,0.00788,0.00874,2.58084,3.28,50.3,1.727490523,0.398,6.51,1.3764507,7.24,68.3,1.4826255,1
60923_14_BTM,2348935016.0,0.0381,48.774004,0.0473,13.82173538,0.073462285,0.0473,0.00557,0.00465,2.17415,0.121,1.85,1.900817031,0.214,3.46,1.6475147,0.0976,0.924,1.8972836,1
60923_14_TOP,2348935016.0,0.0381,7.212751,0.0473,5.215647221,0.076770909,0.0473,0.00546,0.00313,0.789976,0.0,0.0,1.347890232,0.271,1.34,1.3798641,5.8e-13,1.12e-11,1.939076,1
60923_15_BTM,2348935016.0,0.0381,95.497338,0.0473,34.6217041,0.064541042,0.0473,0.00208,0.00998,17.4519,1990.0,30600.0,1.823406555,2550.0,41900.0,1.689044,4160.0,39500.0,1.5806296,1
60923_15_TOP,2348935016.0,0.0381,97.323275,0.0473,35.59664917,0.077034131,0.0596,0.00515,0.0382,18.6123,2730.0,41900.0,1.724689844,1890.0,31100.0,1.6936202,1720.0,16400.0,1.6865064,1
60923_16_BTM,2348935016.0,0.0381,92.382169,0.0473,27.63533592,0.081732221,0.0595,0.00719,0.027,9.17479,225.0,3460.0,1.689873561,668.0,11000.0,1.7103343,1240.0,11800.0,1.6800022,1
60923_16_TOP,2348935016.0,0.0381,97.664614,0.0473,34.53387833,0.079533383,0.0587,0.0078,0.0653,16.9351,2740.0,42100.0,1.73741092,1540.0,25200.0,1.7795866,3750.0,35700.0,1.7051136,1
60923_17_BTM,2348935016.0,0.0381,93.9339,0.0473,29.8647823,0.07534679,0.0589,0.00494,0.0208,11.3879,227.0,3480.0,1.769809545,286.0,4690.0,1.7916658,1420.0,13500.0,1.4931416,1
60923_17_TOP,2348935016.0,0.0381,97.7674,0.0473,38.1822433,0.059704468,0.0473,0.00179,0.0155,22.8655,3150.0,48400.0,1.739312798,1510.0,24700.0,1.7179187,4150.0,39500.0,1.6693813,1
60923_18_BTM,2348935016.0,0.0381,93.1805,0.0473,30.4792595,0.063017413,0.0473,0.00275,0.0105,12.2033,461.0,7080.0,1.691325584,446.0,7330.0,1.7374899,1870.0,17800.0,1.6022661,1
60923_18_TOP,2348935016.0,0.0381,96.535832,0.0473,36.31193542,0.076032892,0.0588,0.00652,0.0546,19.9182,2340.0,35900.0,1.673842932,3140.0,51600.0,1.6717882,1970.0,18800.0,1.8100399,1
60923_19_BTM,2348935016.0,0.0381,94.6929,0.0473,31.3846989,0.072958864,0.0473,0.00546,0.0264,13.1107,2240.0,34400.0,1.71000401,732.0,12000.0,1.9721541,9020.0,85800.0,1.4611899,1
60923_19_TOP,2348935016.0,0.0381,95.914297,0.0473,30.37445641,0.080965996,0.0567,0.00946,0.0597,11.7336,51.7,794.0,1.826773279,121.0,1990.0,1.8219385,6050.0,57600.0,1.4916401,1
60923_20_BTM,2348935016.0,0.0381,96.852754,0.0473,35.26047134,0.102562271,0.0618,0.0247,0.235,18.1778,2550.0,39100.0,1.768248509,9090.0,150000.0,1.594536,10400.0,98300.0,1.6298477,1
60923_20_TOP,2348935016.0,0.0381,97.095569,0.0473,35.76992035,0.100234896,0.0666,0.0174,0.16,18.9297,15700.0,241000.0,1.860683998,13300.0,219000.0,1.8044904,21800.0,208000.0,1.5270761,1
60923_21_BTM,2348935016.0,0.0381,,0.0473,31.8519993,0.064418636,0.0473,0.00271,0.00911,14.0957,525.0,8060.0,1.761365089,6710.0,110000.0,1.6143215,13800.0,131000.0,1.4738917,1
60923_21_TOP,2348935016.0,0.0381,,0.0473,27.367672,0.072672367,0.0571,0.00371,0.00954,9.24549,122.0,1870.0,1.694834335,344.0,5660.0,1.6955607,88.4,845.0,1.8679761,1
