Sample_Name,Proposal_ID,Sampling_Set,Core_Section,Rep,Site,Cultivar,Plot
60923_1_TOP_1,60923,1,TOP,1,TX,Kanlow,1A
60923_1_TOP_2,60923,1,TOP,2,TX,Kanlow,1A
60923_1_TOP_3,60923,1,TOP,3,TX,Kanlow,1A
60923_1_BTM_1,60923,1,BTM,1,TX,Kanlow,1A
60923_1_BTM_2,60923,1,BTM,2,TX,Kanlow,1A
60923_1_BTM_3,60923,1,BTM,3,TX,Kanlow,1A
60923_2_TOP_1,60923,2,TOP,1,TX,Blackwell,1F
60923_2_TOP_2,60923,2,TOP,2,TX,Blackwell,1F
60923_2_TOP_3,60923,2,TOP,3,TX,Blackwell,1F
60923_2_BTM_1,60923,2,BTM,1,TX,Blackwell,1F
60923_2_BTM_2,60923,2,BTM,2,TX,Blackwell,1F
60923_2_BTM_3,60923,2,BTM,3,TX,Blackwell,1F
60923_3_TOP_1,60923,3,TOP,1,TX,Blackwell,2A
60923_3_TOP_2,60923,3,TOP,2,TX,Blackwell,2A
60923_3_TOP_3,60923,3,TOP,3,TX,Blackwell,2A
60923_3_BTM_1,60923,3,BTM,1,TX,Blackwell,2A
60923_3_BTM_2,60923,3,BTM,2,TX,Blackwell,2A
60923_3_BTM_3,60923,3,BTM,3,TX,Blackwell,2A
60923_4_TOP_1,60923,4,TOP,1,TX,Kanlow,2C
60923_4_TOP_2,60923,4,TOP,2,TX,Kanlow,2C
60923_4_TOP_3,60923,4,TOP,3,TX,Kanlow,2C
60923_4_BTM_1,60923,4,BTM,1,TX,Kanlow,2C
60923_4_BTM_2,60923,4,BTM,2,TX,Kanlow,2C
60923_4_BTM_3,60923,4,BTM,3,TX,Kanlow,2C
60923_5_TOP_1,60923,5,TOP,1,TX,Blackwell,4B
60923_5_TOP_2,60923,5,TOP,2,TX,Blackwell,4B
60923_5_TOP_3,60923,5,TOP,3,TX,Blackwell,4B
60923_5_BTM_1,60923,5,BTM,1,TX,Blackwell,4B
60923_5_BTM_2,60923,5,BTM,2,TX,Blackwell,4B
60923_5_BTM_3,60923,5,BTM,3,TX,Blackwell,4B
60923_6_TOP_1,60923,6,TOP,1,TX,Kanlow,4F
60923_6_TOP_2,60923,6,TOP,2,TX,Kanlow,4F
60923_6_TOP_3,60923,6,TOP,3,TX,Kanlow,4F
60923_6_BTM_1,60923,6,BTM,1,TX,Kanlow,4F
60923_6_BTM_2,60923,6,BTM,2,TX,Kanlow,4F
60923_6_BTM_3,60923,6,BTM,3,TX,Kanlow,4F
60923_7_TOP_1,60923,7,TOP,1,TX,NoPlant,3X
60923_7_TOP_2,60923,7,TOP,2,TX,NoPlant,3X
60923_7_TOP_3,60923,7,TOP,3,TX,NoPlant,3X
60923_7_BTM_1,60923,7,BTM,1,TX,NoPlant,3X
60923_7_BTM_2,60923,7,BTM,2,TX,NoPlant,3X
60923_7_BTM_3,60923,7,BTM,3,TX,NoPlant,3X
60923_8_TOP_1,60923,8,TOP,1,MO,Kanlow,1C
60923_8_TOP_2,60923,8,TOP,2,MO,Kanlow,1C
60923_8_TOP_3,60923,8,TOP,3,MO,Kanlow,1C
60923_8_BTM_1,60923,8,BTM,1,MO,Kanlow,1C
60923_8_BTM_2,60923,8,BTM,2,MO,Kanlow,1C
60923_8_BTM_3,60923,8,BTM,3,MO,Kanlow,1C
60923_9_TOP_1,60923,9,TOP,1,MO,Blackwell,1D
60923_9_TOP_2,60923,9,TOP,2,MO,Blackwell,1D
60923_9_TOP_3,60923,9,TOP,3,MO,Blackwell,1D
60923_9_BTM_1,60923,9,BTM,1,MO,Blackwell,1D
60923_9_BTM_2,60923,9,BTM,2,MO,Blackwell,1D
60923_9_BTM_3,60923,9,BTM,3,MO,Blackwell,1D
60923_10_TOP_1,60923,10,TOP,1,MO,Kanlow,2D
60923_10_TOP_2,60923,10,TOP,2,MO,Kanlow,2D
60923_10_TOP_3,60923,10,TOP,3,MO,Kanlow,2D
60923_10_BTM_1,60923,10,BTM,1,MO,Kanlow,2D
60923_10_BTM_2,60923,10,BTM,2,MO,Kanlow,2D
60923_10_BTM_3,60923,10,BTM,3,MO,Kanlow,2D
60923_11_TOP_1,60923,11,TOP,1,MO,Blackwell,2E
60923_11_TOP_2,60923,11,TOP,2,MO,Blackwell,2E
60923_11_TOP_3,60923,11,TOP,3,MO,Blackwell,2E
60923_11_BTM_1,60923,11,BTM,1,MO,Blackwell,2E
60923_11_BTM_2,60923,11,BTM,2,MO,Blackwell,2E
60923_11_BTM_3,60923,11,BTM,3,MO,Blackwell,2E
60923_12_TOP_1,60923,12,TOP,1,MO,Blackwell,4A
60923_12_TOP_2,60923,12,TOP,2,MO,Blackwell,4A
60923_12_TOP_3,60923,12,TOP,3,MO,Blackwell,4A
60923_12_BTM_1,60923,12,BTM,1,MO,Blackwell,4A
60923_12_BTM_2,60923,12,BTM,2,MO,Blackwell,4A
60923_12_BTM_3,60923,12,BTM,3,MO,Blackwell,4A
60923_13_TOP_1,60923,13,TOP,1,MO,Kanlow,4C
60923_13_TOP_2,60923,13,TOP,2,MO,Kanlow,4C
60923_13_TOP_3,60923,13,TOP,3,MO,Kanlow,4C
60923_13_BTM_1,60923,13,BTM,1,MO,Kanlow,4C
60923_13_BTM_2,60923,13,BTM,2,MO,Kanlow,4C
60923_13_BTM_3,60923,13,BTM,3,MO,Kanlow,4C
60923_14_TOP_1,60923,14,TOP,1,MO,NoPlant,4X
60923_14_TOP_2,60923,14,TOP,2,MO,NoPlant,4X
60923_14_TOP_3,60923,14,TOP,3,MO,NoPlant,4X
60923_14_BTM_1,60923,14,BTM,1,MO,NoPlant,4X
60923_14_BTM_2,60923,14,BTM,2,MO,NoPlant,4X
60923_14_BTM_3,60923,14,BTM,3,MO,NoPlant,4X
60923_15_TOP_1,60923,15,TOP,1,IL,Kanlow,1C
60923_15_TOP_2,60923,15,TOP,2,IL,Kanlow,1C
60923_15_TOP_3,60923,15,TOP,3,IL,Kanlow,1C
60923_15_BTM_1,60923,15,BTM,1,IL,Kanlow,1C
60923_15_BTM_2,60923,15,BTM,2,IL,Kanlow,1C
60923_15_BTM_3,60923,15,BTM,3,IL,Kanlow,1C
60923_16_TOP_1,60923,16,TOP,1,IL,Blackwell,1D
60923_16_TOP_2,60923,16,TOP,2,IL,Blackwell,1D
60923_16_TOP_3,60923,16,TOP,3,IL,Blackwell,1D
60923_16_BTM_1,60923,16,BTM,1,IL,Blackwell,1D
60923_16_BTM_2,60923,16,BTM,2,IL,Blackwell,1D
60923_16_BTM_3,60923,16,BTM,3,IL,Blackwell,1D
60923_17_TOP_1,60923,17,TOP,1,IL,Kanlow,2B
60923_17_TOP_2,60923,17,TOP,2,IL,Kanlow,2B
60923_17_TOP_3,60923,17,TOP,3,IL,Kanlow,2B
60923_17_BTM_1,60923,17,BTM,1,IL,Kanlow,2B
60923_17_BTM_2,60923,17,BTM,2,IL,Kanlow,2B
60923_17_BTM_3,60923,17,BTM,3,IL,Kanlow,2B
60923_18_TOP_1,60923,18,TOP,1,IL,Blackwell,2E
60923_18_TOP_2,60923,18,TOP,2,IL,Blackwell,2E
60923_18_TOP_3,60923,18,TOP,3,IL,Blackwell,2E
60923_18_BTM_1,60923,18,BTM,1,IL,Blackwell,2E
60923_18_BTM_2,60923,18,BTM,2,IL,Blackwell,2E
60923_18_BTM_3,60923,18,BTM,3,IL,Blackwell,2E
60923_19_TOP_1,60923,19,TOP,1,IL,Kanlow,4C
60923_19_TOP_2,60923,19,TOP,2,IL,Kanlow,4C
60923_19_TOP_3,60923,19,TOP,3,IL,Kanlow,4C
60923_19_BTM_1,60923,19,BTM,1,IL,Kanlow,4C
60923_19_BTM_2,60923,19,BTM,2,IL,Kanlow,4C
60923_19_BTM_3,60923,19,BTM,3,IL,Kanlow,4C
60923_20_TOP_1,60923,20,TOP,1,IL,Blackwell,4F
60923_20_TOP_2,60923,20,TOP,2,IL,Blackwell,4F
60923_20_TOP_3,60923,20,TOP,3,IL,Blackwell,4F
60923_20_BTM_1,60923,20,BTM,1,IL,Blackwell,4F
60923_20_BTM_2,60923,20,BTM,2,IL,Blackwell,4F
60923_20_BTM_3,60923,20,BTM,3,IL,Blackwell,4F
60923_21_TOP_1,60923,21,TOP,1,IL,NoPlant,4X
60923_21_TOP_2,60923,21,TOP,2,IL,NoPlant,4X
60923_21_TOP_3,60923,21,TOP,3,IL,NoPlant,4X
60923_21_BTM_1,60923,21,BTM,1,IL,NoPlant,4X
60923_21_BTM_2,60923,21,BTM,2,IL,NoPlant,4X
60923_21_BTM_3,60923,21,BTM,3,IL,NoPlant,4X
