"","60923_1_BTM","60923_1_TOP","60923_10_BTM","60923_10_TOP","60923_11_BTM","60923_11_TOP","60923_12_BTM","60923_12_TOP","60923_13_BTM","60923_13_TOP","60923_14_BTM","60923_14_TOP","60923_15_BTM","60923_15_TOP","60923_16_BTM","60923_16_TOP","60923_17_BTM","60923_17_TOP","60923_18_BTM","60923_18_TOP","60923_19_BTM","60923_19_TOP","60923_2_BTM","60923_2_TOP","60923_20_BTM","60923_20_TOP","60923_21_BTM","60923_21_TOP","60923_3_BTM","60923_3_TOP","60923_4_BTM","60923_4_TOP","60923_5_BTM","60923_5_TOP","60923_6_BTM","60923_6_TOP","60923_7_BTM","60923_7_TOP","60923_8_BTM","60923_8_TOP","60923_9_BTM","60923_9_TOP"
"C7 H5 O1 N1 S1",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C8 H8 O3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C7 H8 O2 N2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"C9 H12 O2",1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0
"C7 H6 O4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C8 H10 O3",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C9 H14 O2",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C6 H5 O4 N1",1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1
"C7 H8 O4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"C8 H12 O3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
