"","molecular_formula","C","H","O","N","P","S","AImod","NOSC","GFE","HC","OC","El","Class1","Class2","Class3"
"C7 H5 O1 N1 S1","C7 H5 O1 N1 S1",7,5,1,1,0,1,0.7778,0.2857,52.15755,0.71,0.14,"CHONS","Unsat Hydrocarbon","condensed aromatic","condensed aromatic"
"C8 H8 O3","C8 H8 O3",8,8,3,0,0,0,0.5385,-0.25,67.425,1,0.38,"CHO","Lignin","aromatic","aromatic"
"C7 H8 O2 N2","C7 H8 O2 N2",7,8,2,2,0,0,0.5,0.2857,52.15755,1.14,0.29,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H12 O2","C9 H12 O2",9,12,2,0,0,0,0.375,-0.8889,85.63365,1.33,0.22,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C7 H7 O3 N1","C7 H7 O3 N1",7,7,3,1,0,0,0.5556,0.2857,52.15755,1,0.43,"CHON","Lignin","aromatic","aromatic"
"C7 H8 O3 13C1","C7 H8 O3 13C1",7,8,3,0,0,0,0.4545,-0.2857,68.44245,1.14,0.43,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C7 H6 O4","C7 H6 O4",7,6,4,0,0,0,0.6,0.2857,52.15755,0.86,0.57,"CHO","Lignin","aromatic","aromatic"
"C8 H10 O3","C8 H10 O3",8,10,3,0,0,0,0.3846,-0.5,74.55,1.25,0.38,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H14 O2","C9 H14 O2",9,14,2,0,0,0,0.25,-1.1111,91.96635,1.56,0.22,"CHO","Lipid","aliphatic","aliphatic"
"C6 H5 O4 N1","C6 H5 O4 N1",6,5,4,1,0,0,0.6667,1,31.8,0.83,0.67,"CHON","Tannin","condensed aromatic","condensed aromatic"
"C7 H8 O4","C7 H8 O4",7,8,4,0,0,0,0.4,0,60.3,1.14,0.57,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C8 H12 O3","C8 H12 O3",8,12,3,0,0,0,0.2308,-0.75,81.675,1.5,0.38,"CHO","Protein","aliphatic","aliphatic"
"C7 H11 O3 N1","C7 H11 O3 N1",7,11,3,1,0,0,0.1111,-0.2857,68.44245,1.57,0.43,"CHON","Protein","aliphatic","aliphatic+N"
"C7 H12 O3 13C1","C7 H12 O3 13C1",7,12,3,0,0,0,0.0909,-0.8571,84.72735,1.71,0.43,"CHO","Protein","aliphatic","aliphatic"
"C9 H16 O2","C9 H16 O2",9,16,2,0,0,0,0.125,-1.3333,98.29905,1.78,0.22,"CHO","Lipid","aliphatic","aliphatic"
"C6 H6 O5","C6 H6 O5",6,6,5,0,0,0,0.4286,0.6667,41.29905,1,0.83,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C8 H14 O3","C8 H14 O3",8,14,3,0,0,0,0.0769,-1,88.8,1.75,0.38,"CHO","Protein","aliphatic","aliphatic"
"C9 H18 O2","C9 H18 O2",9,18,2,0,0,0,0,-1.5556,104.6346,2,0.22,"CHO","Lipid","aliphatic","lipid"
"C6 H9 O4 N1","C6 H9 O4 N1",6,9,4,1,0,0,0,0.3333,50.80095,1.5,0.67,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C7 H13 O3 N1","C7 H13 O3 N1",7,13,3,1,0,0,-0.1111,-0.5714,76.5849,1.86,0.43,"CHON","Protein","aliphatic","aliphatic+N"
"C7 H10 O4","C7 H10 O4",7,10,4,0,0,0,0.2,-0.2857,68.44245,1.43,0.57,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C6 H8 O5","C6 H8 O5",6,8,5,0,0,0,0.1429,0.3333,50.80095,1.33,0.83,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C5 H8 O4 N2","C5 H8 O4 N2",5,8,4,2,0,0,-1,1.2,26.1,1.6,0.8,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C7 H12 O4","C7 H12 O4",7,12,4,0,0,0,0,-0.5714,76.5849,1.71,0.57,"CHO","Amino Sugar","aliphatic","aliphatic"
"C6 H10 O4 13C1","C6 H10 O4 13C1",6,10,4,0,0,0,0,-0.3333,69.79905,1.67,0.67,"CHO","Amino Sugar","aliphatic","aliphatic"
"C8 H16 O3","C8 H16 O3",8,16,3,0,0,0,-0.0769,-1.25,95.925,2,0.38,"CHO","Protein","aliphatic","lipid"
"C9 H6 O3","C9 H6 O3",9,6,3,0,0,0,0.7333,0,60.3,0.67,0.33,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C8 H6 O2 N2","C8 H6 O2 N2",8,6,2,2,0,0,0.8,0.5,46.05,0.75,0.25,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C6 H10 O5","C6 H10 O5",6,10,5,0,0,0,-0.1429,0,60.3,1.67,0.83,"CHO","Carbohydrate","aliphatic","aliphatic"
"C10 H10 O2","C10 H10 O2",10,10,2,0,0,0,0.5556,-0.6,77.4,1,0.2,"CHO","Other","aromatic","aromatic"
"C6 H12 O4 13C1","C6 H12 O4 13C1",6,12,4,0,0,0,-0.25,-0.6667,79.30095,2,0.67,"CHO","Other","aliphatic","lipid"
"C7 H16 O3 13C1","C7 H16 O3 13C1",7,16,3,0,0,0,-0.2727,-1.4286,101.0151,2.29,0.43,"CHO","Other","aliphatic","lipid"
"C7 H14 O4","C7 H14 O4",7,14,4,0,0,0,-0.2,-0.8571,84.72735,2,0.57,"CHO","Other","aliphatic","lipid"
"C8 H5 O3 N1","C8 H5 O3 N1",8,5,3,1,0,0,0.8182,0.5,46.05,0.62,0.38,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C5 H9 O5 N1","C5 H9 O5 N1",5,9,5,1,0,0,-1,0.8,37.5,1.8,1,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C6 H13 O4 N1","C6 H13 O4 N1",6,13,4,1,0,0,-0.6667,-0.3333,69.79905,2.17,0.67,"CHON","Other","aliphatic","lipid"
"C9 H8 O3","C9 H8 O3",9,8,3,0,0,0,0.6,-0.2222,66.6327,0.89,0.33,"CHO","Lignin","aromatic","aromatic"
"C6 H12 O5","C6 H12 O5",6,12,5,0,0,0,-0.4286,-0.3333,69.79905,2,0.83,"CHO","Carbohydrate","aliphatic","lipid"
"C10 H12 O2","C10 H12 O2",10,12,2,0,0,0,0.4444,-0.8,83.1,1.2,0.2,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C11 H16 O1","C11 H16 O1",11,16,1,0,0,0,0.3333,-1.2727,96.57195,1.45,0.09,"CHO","Unsat Hydrocarbon","unsaturated/lignin","unsaturated/lignin"
"C8 H7 O3 N1","C8 H7 O3 N1",8,7,3,1,0,0,0.6364,0.25,53.175,0.88,0.38,"CHON","Lignin","aromatic","aromatic"
"C9 H11 O2 N1","C9 H11 O2 N1",9,11,2,1,0,0,0.4286,-0.4444,72.9654,1.22,0.22,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C8 H6 O4","C8 H6 O4",8,6,4,0,0,0,0.6667,0.25,53.175,0.75,0.5,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
