variable,r2_percent,pval_formatted,significance
pH,53,0.001,**
Fe_mg_per_kg,43.6,0.001,**
Ca_mg_per_100_g,27.5,0.001,**
Mg_mg_per_100_g,50.3,0.001,**
Na_mg_per_100_g,30,0.001,**
K_mg_per_100_g,29,0.001,**
Total_N_percent,50.3,0.001,**
Total_S_percent,32.7,0.001,**
Zn_mg_per_kg,34.1,0.002,**
MAOM_TOC_mg_per_kg,23.3,0.003,**
phosphorus,24.5,0.004,**
Total_C_percent,21.7,0.005,**
Bulk_density_g_per_cm3,19.8,0.005,**
MAOM_TN_mg_per_kg,16.9,0.014,*
WEOM_TN_mg_per_kg,10.7,0.021,*
WEOM_TOC_mg_per_kg,8.7,0.037,*
B_mg_per_kg,8.8,0.046,*
