group,Depth,property,mean_value,sd_value,n_samples
"IL
Blackwell",BTM,Mean Modified Aromaticity Index,0.121754157946916,0.0036107809121006234,3
"IL
Blackwell",TOP,Mean Modified Aromaticity Index,0.12695085120070232,0.015212259636387443,3
"MO
Blackwell",BTM,Mean Modified Aromaticity Index,0.115458929153647,0.0032191420726522544,3
"MO
Blackwell",TOP,Mean Modified Aromaticity Index,0.1041974679327116,0.012722812423762995,3
"TX
Blackwell",BTM,Mean Modified Aromaticity Index,0.10902699357373433,0.00492728211521113,3
"TX
Blackwell",TOP,Mean Modified Aromaticity Index,0.12739266884112566,0.007540446001475099,3
"IL
Kanlow",BTM,Mean Modified Aromaticity Index,0.12162353877147766,0.004600084432779082,3
"IL
Kanlow",TOP,Mean Modified Aromaticity Index,0.13021007067761434,0.005346757450953402,3
"MO
Kanlow",BTM,Mean Modified Aromaticity Index,0.10726572895906783,0.013369727844857772,3
"MO
Kanlow",TOP,Mean Modified Aromaticity Index,0.10142574103182664,0.0046027224319491605,3
"TX
Kanlow",BTM,Mean Modified Aromaticity Index,0.1009590734175465,0.008980435610316553,3
"TX
Kanlow",TOP,Mean Modified Aromaticity Index,0.12077020418563034,0.01286429740789695,3
"IL
NoPlant",BTM,Mean Modified Aromaticity Index,0.119023872841204,NA,1
"IL
NoPlant",TOP,Mean Modified Aromaticity Index,0.134927176566314,NA,1
"MO
NoPlant",BTM,Mean Modified Aromaticity Index,0.127234746772592,NA,1
"MO
NoPlant",TOP,Mean Modified Aromaticity Index,0.110314868905244,NA,1
"TX
NoPlant",BTM,Mean Modified Aromaticity Index,0.096500082907282,NA,1
"TX
NoPlant",TOP,Mean Modified Aromaticity Index,0.139061722362796,NA,1
"IL
Blackwell",BTM,Mean NOSC,-0.16921003222686168,0.007771000029192839,3
"IL
Blackwell",TOP,Mean NOSC,-0.17334180752748032,0.02492370155360249,3
"MO
Blackwell",BTM,Mean NOSC,-0.19504262593462968,0.003182055390470442,3
"MO
Blackwell",TOP,Mean NOSC,-0.20605613591971766,0.014663256127092088,3
"TX
Blackwell",BTM,Mean NOSC,-0.195350251947749,0.004813830968847137,3
"TX
Blackwell",TOP,Mean NOSC,-0.19217325767762566,0.004499139496085797,3
"IL
Kanlow",BTM,Mean NOSC,-0.17087136613179332,0.015185094188264279,3
"IL
Kanlow",TOP,Mean NOSC,-0.16794697015969767,0.011331843398070696,3
"MO
Kanlow",BTM,Mean NOSC,-0.19815180331303767,0.008890324723660368,3
"MO
Kanlow",TOP,Mean NOSC,-0.20703037775010966,0.005379859149371294,3
"TX
Kanlow",BTM,Mean NOSC,-0.20358696148341265,0.010121997084909263,3
"TX
Kanlow",TOP,Mean NOSC,-0.20356324569980233,0.009985014761578082,3
"IL
NoPlant",BTM,Mean NOSC,-0.164448372306282,NA,1
"IL
NoPlant",TOP,Mean NOSC,-0.164946074043938,NA,1
"MO
NoPlant",BTM,Mean NOSC,-0.178113932472691,NA,1
"MO
NoPlant",TOP,Mean NOSC,-0.198590489880405,NA,1
"TX
NoPlant",BTM,Mean NOSC,-0.208537101008705,NA,1
"TX
NoPlant",TOP,Mean NOSC,-0.173247107582235,NA,1
"IL
Blackwell",BTM,Mean Gibbs Free Energy,65.12248591846557,0.221473500832014,3
"IL
Blackwell",TOP,Mean Gibbs Free Energy,65.24024151453317,0.7103254942776623,3
"MO
Blackwell",BTM,Mean Gibbs Free Energy,65.85871483913697,0.09068857862841184,3
"MO
Blackwell",TOP,Mean Gibbs Free Energy,66.17259987371193,0.41790279962212223,3
"TX
Blackwell",BTM,Mean Gibbs Free Energy,65.86748218051083,0.1371941826121574,3
"TX
Blackwell",TOP,Mean Gibbs Free Energy,65.77693784381233,0.12822547563842598,3
"IL
Kanlow",BTM,Mean Gibbs Free Energy,65.16983393475614,0.43277518436554363,3
"IL
Kanlow",TOP,Mean Gibbs Free Energy,65.08648864955137,0.3229575368449973,3
"MO
Kanlow",BTM,Mean Gibbs Free Energy,65.94732639442157,0.2533742546243442,3
"MO
Kanlow",TOP,Mean Gibbs Free Energy,66.20036576587813,0.15332598575706988,3
"TX
Kanlow",BTM,Mean Gibbs Free Energy,66.10222840227723,0.2884769169199122,3
"TX
Kanlow",TOP,Mean Gibbs Free Energy,66.10155250244436,0.28457292070497053,3
"IL
NoPlant",BTM,Mean Gibbs Free Energy,64.986778610729,NA,1
"IL
NoPlant",TOP,Mean Gibbs Free Energy,65.0009631102522,NA,1
"MO
NoPlant",BTM,Mean Gibbs Free Energy,65.3762470754717,NA,1
"MO
NoPlant",TOP,Mean Gibbs Free Energy,65.9598289615915,NA,1
"TX
NoPlant",BTM,Mean Gibbs Free Energy,66.2433073787481,NA,1
"TX
NoPlant",TOP,Mean Gibbs Free Energy,65.2375425660937,NA,1
